event,positionX,positionY,timestamp,windowName,userId,id,button,
Move,762,743,4.592,/authorization,2,175166,NoButton,
Move,763,743,4.593,/authorization,2,175167,NoButton,
Move,765,743,4.594,/authorization,2,175168,NoButton,
Move,767,743,4.595,/authorization,2,175169,NoButton,
Move,768,743,4.596,/authorization,2,175170,NoButton,
Move,770,743,4.597,/authorization,2,175171,NoButton,
Move,771,743,4.598,/authorization,2,175172,NoButton,
Move,772,742,4.599,/authorization,2,175173,NoButton,
Move,774,742,4.6,/authorization,2,175174,NoButton,
Move,776,742,4.601,/authorization,2,175175,NoButton,
Move,776,741,4.602,/authorization,2,175176,NoButton,
Move,778,741,4.603,/authorization,2,175177,NoButton,
Move,782,741,4.604,/authorization,2,175178,NoButton,
Move,784,741,4.606,/authorization,2,175179,NoButton,
Move,785,740,4.607,/authorization,2,175180,NoButton,
Move,786,740,4.608,/authorization,2,175181,NoButton,
Move,788,740,4.609,/authorization,2,175182,NoButton,
Move,789,740,4.61,/authorization,2,175183,NoButton,
Move,791,739,4.611,/authorization,2,175184,NoButton,
Move,792,739,4.613,/authorization,2,175185,NoButton,
Move,794,739,4.614,/authorization,2,175186,NoButton,
Move,796,738,4.615,/authorization,2,175187,NoButton,
Move,799,738,4.617,/authorization,2,175188,NoButton,
Move,800,738,4.619,/authorization,2,175189,NoButton,
Move,801,738,4.62,/authorization,2,175190,NoButton,
Move,803,737,4.621,/authorization,2,175191,NoButton,
Move,804,737,4.622,/authorization,2,175192,NoButton,
Move,805,736,4.623,/authorization,2,175193,NoButton,
Move,807,736,4.624,/authorization,2,175194,NoButton,
Move,808,736,4.625,/authorization,2,175195,NoButton,
Move,809,735,4.627,/authorization,2,175196,NoButton,
Move,811,735,4.628,/authorization,2,175197,NoButton,
Move,813,734,4.63,/authorization,2,175198,NoButton,
Move,815,733,4.632,/authorization,2,175199,NoButton,
Move,816,733,4.633,/authorization,2,175200,NoButton,
Move,818,732,4.634,/authorization,2,175201,NoButton,
Move,819,731,4.636,/authorization,2,175202,NoButton,
Move,820,731,4.637,/authorization,2,175203,NoButton,
Move,822,730,4.639,/authorization,2,175204,NoButton,
Move,824,730,4.641,/authorization,2,175205,NoButton,
Move,824,730,4.642,/authorization,2,175206,NoButton,
Move,825,729,4.643,/authorization,2,175207,NoButton,
Move,826,729,4.645,/authorization,2,175208,NoButton,
Move,827,728,4.646,/authorization,2,175209,NoButton,
Move,828,728,4.647,/authorization,2,175210,NoButton,
Move,829,727,4.648,/authorization,2,175211,NoButton,
Move,830,727,4.649,/authorization,2,175212,NoButton,
Move,831,726,4.65,/authorization,2,175213,NoButton,
Move,832,725,4.653,/authorization,2,175214,NoButton,
Move,833,724,4.654,/authorization,2,175215,NoButton,
Move,834,723,4.656,/authorization,2,175216,NoButton,
Move,836,722,4.657,/authorization,2,175217,NoButton,
Move,836,722,4.659,/authorization,2,175218,NoButton,
Move,838,722,4.66,/authorization,2,175219,NoButton,
Move,840,721,4.661,/authorization,2,175220,NoButton,
Move,840,720,4.662,/authorization,2,175221,NoButton,
Move,841,719,4.664,/authorization,2,175222,NoButton,
Move,843,718,4.666,/authorization,2,175223,NoButton,
Move,844,717,4.667,/authorization,2,175224,NoButton,
Move,846,716,4.669,/authorization,2,175225,NoButton,
Move,847,716,4.67,/authorization,2,175226,NoButton,
Move,847,715,4.671,/authorization,2,175227,NoButton,
Move,848,714,4.672,/authorization,2,175228,NoButton,
Move,849,714,4.674,/authorization,2,175229,NoButton,
Move,851,713,4.676,/authorization,2,175230,NoButton,
Move,852,713,4.677,/authorization,2,175231,NoButton,
Move,853,712,4.678,/authorization,2,175232,NoButton,
Move,855,711,4.679,/authorization,2,175233,NoButton,
Move,855,710,4.68,/authorization,2,175234,NoButton,
Move,856,709,4.681,/authorization,2,175235,NoButton,
Move,857,709,4.682,/authorization,2,175236,NoButton,
Move,858,707,4.683,/authorization,2,175237,NoButton,
Move,859,706,4.685,/authorization,2,175238,NoButton,
Move,861,706,4.686,/authorization,2,175239,NoButton,
Move,861,705,4.687,/authorization,2,175240,NoButton,
Move,863,704,4.688,/authorization,2,175241,NoButton,
Move,864,704,4.689,/authorization,2,175242,NoButton,
Move,864,702,4.69,/authorization,2,175243,NoButton,
Move,865,701,4.691,/authorization,2,175244,NoButton,
Move,866,701,4.692,/authorization,2,175245,NoButton,
Move,868,700,4.693,/authorization,2,175246,NoButton,
Move,868,699,4.694,/authorization,2,175247,NoButton,
Move,870,698,4.696,/authorization,2,175248,NoButton,
Move,871,698,4.697,/authorization,2,175249,NoButton,
Move,872,696,4.698,/authorization,2,175250,NoButton,
Move,873,695,4.699,/authorization,2,175251,NoButton,
Move,874,693,4.7,/authorization,2,175252,NoButton,
Move,876,692,4.701,/authorization,2,175253,NoButton,
Move,876,691,4.702,/authorization,2,175254,NoButton,
Move,878,690,4.703,/authorization,2,175255,NoButton,
Move,879,690,4.704,/authorization,2,175256,NoButton,
