type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,n_from,n_to
3,397.24992738610507,1.415,7,0.8573934141701972,295,-40.51895394227071,-0.0004715326193268982,0.5201345891950863,1.5707963267948966,-1.5707963267948966,-4.686909938010933,503.7089975727076,1570.7963267950695,-1570.7963267950695,536.0842140621021,340.59947152043554,178,841.7319174681545,591.3150679107574,2999.9999999999973,0.0,-78.93187522727553,453.45534920532407,1999.9999999999982,-1999.9999999999982,982.1179360715682,551.1470566577611,2999.9999999999973,0.0,91738.80252157715,564847.3067077422,1999999.9999999965,-1236067.9774997872,81037749.62782654,844838644.6926085,2604101966.249677,-2292893218.813446,0.111,2,297
3,254.06001967750944,0.16700000000000004,7,0.9803362569809482,119,-11.423243688163168,0.006118332771340346,0.26097693659731813,0.7853981633974483,-1.5707963267948966,10.41239284608572,304.92322567206986,1570.7963267947207,-785.3981633975347,212.1099285322466,249.06424873915566,72,1910.7242897158822,1132.0269045693535,6000.000000000661,0.0,-158.2633053221291,342.6645126825574,0,-1000.0000000001102,1950.0198403827305,1126.9845878095646,6082.76253029889,0.0,82782.78555569376,1177573.1955527982,4082762.5302991197,-3162277.660169076,100783230.3566589,1939070884.4844017,6162277660.165014,-5763932022.503107,0.0030000000000001137,298,417
3,90.30003487690547,0.1459999999999999,7,0.9213568720457301,62,-16.133654431761457,-0.06870053238631126,0.5511239647846546,0.7853981633974483,-1.5707963267948966,5.189525070908394,659.3275170165537,1570.7963267950695,-1570.7963267950695,102.83832122340651,83.19855767980596,30,985.2150537634325,686.792770364226,3000.0000000003306,0.0,-258.06451612902845,411.0037782014948,0,-1000.0000000001102,1115.3539974238852,653.4987189802015,3000.0000000003306,0.0,107170.81176455581,850385.3006412231,2236067.9775002827,-1250000.0000002754,104273503.0103757,1251514614.145227,3000000000.0014353,-2499999999.9997153,0.0009999999999998899,418,480
3,618.4628672044657,0.6559999999999997,6,0.8426965970233954,202,-222.952773794694,-0.019888620502955097,1.1430643718603433,5.176036589385496,-4.71238898038469,-17.408865580522836,1127.9362795394293,4712.388980385209,-4712.388980385209,578.1591630149841,521.1765535785354,44,579.0429042904306,1566.2156505609692,7000.000000000771,-3999.9999999986644,-2416.8316831683383,1935.9870950188963,0,-11999.999999995993,2928.3927168784853,1943.7303934449335,12649.110640669292,0.0,48826.47141374102,1809284.590661579,5656854.249493627,-7663426.959111154,44740442.45060842,3108736777.344593,10427358981.614115,-13320281208.600332,0.0009999999999998899,481,913
3,492.28401469763514,0.5330000000000004,1,0.9526327681157578,159,210.38281248948752,0.05918880180954338,0.46738762230352676,1.5707963267948966,-1.5707963267948966,0.1470534528957875,550.9814355278746,1570.796326795767,-3141.592653588744,317.4346049454882,468.96588362054655,36,774.0041928721101,992.4898060742895,3999.9999999986644,-1000.0000000005542,2740.823327615787,2015.6730057404861,9999.99999999666,0.0,2968.0612750418886,2083.4929973423805,10770.32961426541,0.0,18853.89041339022,1761840.1629390856,5385164.807130907,-7608051.954099496,19992099.992196657,3106676064.0297956,9544793807.516613,-12993216761.237602,0.009000000000000341,914,1073
3,493.7712044872494,0.3929999999999998,7,0.9647939025776402,129,-34.128685588762295,-0.011204653780485158,0.2837386345360539,1.5707963267948966,-1.5707963267948966,-4.763964263290915,363.51863830216587,1570.796326794372,-1570.796326795767,239.4185670353239,476.38744735771536,41,3541.343669250634,2769.1325401997624,14999.99999999499,0.0,-637.6556260277404,760.9711929008723,0,-2999.999999998998,3704.352473832271,2731.4031067581095,14999.99999999499,0.0,42239.96035343124,2924648.8829672243,9558302.6407811,-11999999.999991985,30591120.255860906,5228766153.988565,15082762530.304644,-20917237469.675423,0.0019999999999997797,1074,1203
3,424.26049445615774,0.46699999999999964,5,0.9683056325420402,127,-194.95740075024224,0.003856361929323123,0.8651877664961966,4.71238898038469,-4.71238898038469,30.342701558774202,799.9312315146111,4712.388980387302,-2748.8935718913717,733.7046140994707,410.81382644696856,36,-374.0157480315004,725.6325329851741,2000.0000000011084,-2000.0000000011084,-3066.929133858277,2159.8336356606674,0,-10999.999999996326,3190.9549667573197,2131.9177208286296,11180.339887495214,0.0,95848.44984007493,1849252.0009235893,7057234.261876574,-7180339.887496977,75854481.29124367,3239481303.664861,9016891166.558214,-14237574149.381441,0.0019999999999997797,1204,1331
3,522.466102030598,0.3019999999999996,3,0.9939778778824194,110,329.3475855249365,0.02428743493954387,0.15796584833999935,1.5707963267948966,-0.20734951426621082,14.128855849448085,476.4470054697169,3141.592653588744,-3141.592653591534,608.3073127967725,519.3197473618734,57,-4681.818181818152,2625.7367169448657,0,-14000.00000000776,336.3636363636531,593.8631492086112,3000.0000000016626,0.0,4722.419109369043,2640.7492445497746,14035.668847625979,0.0,3567.7879714191777,2677842.71560799,8566268.855396023,-8035668.847625298,-8069996.602127967,4707229962.580021,12720805696.836437,-15988575164.954159,0.001000000000000334,1332,1442
3,563.7219425885809,0.27200000000000024,1,0.9662954486350379,153,194.67988116724757,0.030986263375851714,0.40672588354284006,3.141592653589793,-1.5707963267948966,8.118237168028369,546.2296371603398,3141.592653588744,-1570.7963267950695,321.4080152810782,544.7219474190479,37,1037.581699346407,1157.1284485116078,4000.000000002217,-999.9999999996661,3320.872119891652,2258.955505970571,10999.999999996326,10.10101010101008,3593.8449029465073,2370.6965248773204,11180.339887495214,10.10101010101008,33635.684459212585,1716358.0969768504,8180339.88749082,-8180339.887498085,35416633.39148945,3062775003.544475,10565504694.624804,-16360679774.997972,0.001000000000000334,1443,1596
3,560.4209659580205,0.21999999999999975,7,0.9705578184589907,117,-50.52090193232813,-0.027430087449734603,0.26630812107943186,1.5707963267948966,-1.5707963267948966,-23.35640850704097,362.8043739220339,785.3981633975347,-1570.796326794372,234.33000690165062,543.9209501388966,23,4213.675213675089,3075.0708722578033,18999.999999993655,0.0,-1867.5213675212683,1537.4882818121578,0,-6999.999999997663,4744.380673788504,3245.2492314586357,20248.456731309827,0.0,4680.113955037048,3106020.368123862,12968346.842020942,-12186198.983013563,-4773225.522155207,5594453577.048473,14722491618.19469,-25154545825.048447,0.0039999999999995595,1597,1714
